total,correct_to_1,additional_to_1,missing_to_1,additionalAndMissing_to_1,correct_to_2,additional_to_2,missing_to_2,additionalAndMissing_to_2,correct_to_3,additional_to_3,missing_to_3,additionalAndMissing_to_3,correct_to_4,additional_to_4,missing_to_4,additionalAndMissing_to_4,correct_to_5,additional_to_5,missing_to_5,additionalAndMissing_to_5,correct_to_6,additional_to_6,missing_to_6,additionalAndMissing_to_6,invalid_consistent,invalid_inconsistent,invalid_shifted,missing_consistent,missing_inconsistent,fov
2019,1867,152,0,0,1842,176,0,1,1831,186,0,2,1827,190,0,2,1788,229,0,2,1750,265,2,2,265,0,57,2,2,0
2845,2604,241,0,0,2579,266,0,0,2565,280,0,0,2528,317,0,0,2490,355,0,0,2451,387,4,3,387,1,85,4,2,1
1388,1192,195,1,0,1185,202,1,0,1149,238,1,0,1146,241,1,0,1125,262,1,0,1085,299,1,3,299,0,76,1,3,2
1353,1252,101,0,0,1244,109,0,0,1232,121,0,0,1222,131,0,0,1210,143,0,0,1201,151,1,0,151,0,27,1,0,3
2003,1872,130,1,0,1852,149,2,0,1832,169,2,0,1752,249,1,1,1654,334,11,4,1619,341,34,9,341,3,170,34,6,4
1968,1831,134,2,1,1816,149,2,1,1809,156,1,2,1715,250,1,2,1636,298,27,7,1476,449,25,18,449,3,264,25,15,5
1417,1388,27,2,0,1379,36,2,0,1368,46,3,0,1362,52,3,0,1320,85,12,0,1294,105,16,2,105,1,53,16,1,6
2204,1875,328,0,1,1869,334,0,1,1846,357,0,1,1806,397,0,1,1720,463,15,6,1533,644,11,16,644,5,276,11,11,7
2196,2082,113,1,0,2054,141,0,1,2039,156,0,1,1944,251,0,1,1898,284,12,2,1819,360,15,2,360,0,144,15,2,8
1668,1596,70,1,1,1580,86,1,1,1569,97,1,1,1533,132,0,3,1490,175,0,3,1463,189,13,3,189,1,60,13,2,9
1677,1645,32,0,0,1636,40,1,0,1628,48,1,0,1577,99,1,0,1541,135,1,0,1530,144,3,0,144,0,84,3,0,10
1923,1901,20,2,0,1891,29,3,0,1878,41,4,0,1872,47,3,1,1778,141,3,1,1743,176,3,1,176,0,114,3,1,11
1654,1583,70,1,0,1577,76,1,0,1568,84,1,1,1563,89,1,1,1546,106,1,1,1459,193,0,2,193,0,90,0,2,12
990,888,101,1,0,883,106,0,1,793,196,0,1,789,200,0,1,783,206,0,1,728,261,0,1,261,0,141,0,1,13
2399,2209,189,0,1,2192,205,1,1,2184,213,1,1,2128,269,1,1,2078,319,1,1,2053,344,1,1,344,1,116,1,0,14
2207,2103,103,1,0,2086,119,2,0,2083,122,2,0,2062,143,2,0,1995,210,2,0,1984,220,3,0,220,0,92,3,0,15
