segment	plp	sample_type	q25	median	q75	mean	sd	n_fovs
NA	1	negative	1	1	1.1111111111111112	1.076851851851852	0.14887971729126093	12
NA	1	positive	37.52661290322581	42.661187345149614	57.97642574816487	45.569078386143545	11.962274677241096	20
NA	2	negative	1	1	1	1.0595238095238095	0.20619652471058061	12
NA	2	positive	34.97066034651847	40.37095469255664	44.54550822054683	39.40719990850807	9.922330712682152	20
NA	3	negative	1	1	1	1	0	12
NA	3	positive	32.00690537084399	34.223351856529426	39.27247191011236	34.53297508426836	5.889792992253593	20
NA	4	negative	1	1	1	1.125	0.4330127018922193	12
NA	4	positive	12.823529411764707	17.181818181818183	20.87713068181818	16.967270213631522	5.00997197288842	19
NA	5	negative	1	1.15	1.2933333333333332	1.1943317793317794	0.21215087311942796	12
NA	5	positive	22.347429906542054	25.14367469879518	29.38143668063252	26.0323706743857	4.684499158858953	20
NA	6	negative	1	1	1	1	0	12
NA	6	positive	24.98488180318856	26.584692364714606	31.035604097247933	28.499837870356014	5.462953199441177	20
NA	7	negative	1	1	1	1.0694444444444444	0.16603415331593696	12
NA	7	positive	17.98867276887872	20.666751183231913	24.66877863688431	21.506953794221527	6.672221003526596	20
NA	8	negative	1	1	1	1.0128205128205128	0.04441155916843266	12
NA	8	positive	11.458214285714284	12.728104212860309	13.706714527027028	12.340714828713557	2.1701064484452925	20
NA	9	negative	1	1.3928571428571428	2	1.5884559884559886	0.6712407502899829	12
NA	9	positive	5	5	5.25	5.25	0.5	4
NA	10	negative	1	1	1	1.0208333333333333	0.07216878364870322	12
NA	10	positive	7.247276688453159	7.733333333333333	8.116883116883116	7.783358176819966	0.9189125013190846	19
