rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell	sample_type	plp
rep1	NA	10PLP	fov_0	26	190	0.0026398108	3	7.3076923076923075	positive	10
rep1	NA	10PLP	fov_1	17	123	0.0026398108	3	7.235294117647059	positive	10
rep1	NA	10PLP	fov_2	18	162	0.0025329976	3	9	positive	10
rep1	NA	10PLP	fov_3	15	116	0.00336461435	3	7.733333333333333	positive	10
rep1	NA	10PLP	fov_4	27	205	0.00343328	3	7.592592592592593	positive	10
rep1	NA	10PLP	fov_5	38	294	0.0030594339	3	7.7368421052631575	positive	10
rep1	NA	10PLP	fov_6	27	196	0.0027237355	3	7.2592592592592595	positive	10
rep1	NA	10PLP	fov_7	12	100	0.0023651484	3	8.333333333333334	positive	10
rep1	NA	10PLP	fov_8	13	122	0.0022964828	3	9.384615384615385	positive	10
rep1	NA	10PLP	fov_9	29	232	0.002014191	3	8	positive	10
rep1	NA	1PLP	fov_0	72	4384	0.004287785	3	60.888888888888886	positive	1
rep1	NA	1PLP	fov_1	106	4529	0.0045929654	3	42.72641509433962	positive	1
rep1	NA	1PLP	fov_2	83	4151	0.004303044	3	50.01204819277108	positive	1
rep1	NA	1PLP	fov_3	51	2226	0.0041275655	3	43.64705882352941	positive	1
rep1	NA	1PLP	fov_4	90	3419	0.0049286643	3	37.98888888888889	positive	1
rep1	NA	1PLP	fov_5	99	4217	0.0049286643	3	42.5959595959596	positive	1
rep1	NA	1PLP	fov_6	88	3476	0.004470893	3	39.5	positive	1
rep1	NA	1PLP	fov_7	103	2517	0.0038300145	3	24.436893203883496	positive	1
rep1	NA	1PLP	fov_8	66	3781	0.0039368276	3	57.28787878787879	positive	1
rep1	NA	1PLP	fov_9	52	3088	0.004287785	3	59.38461538461539	positive	1
rep1	NA	2PLP	fov_0	109	5385	0.0029297322	3	49.403669724770644	positive	2
rep1	NA	2PLP	fov_1	133	4570	0.0031128405	3	34.3609022556391	positive	2
rep1	NA	2PLP	fov_2	71	1628	0.0036011292	3	22.929577464788732	positive	2
