rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell
rep0	NA	NegCtrlPLP	fov_0	23	48	0.0081101705	3	2.0869565217391304
rep0	NA	NegCtrlPLP	fov_1	17	35	0.011276417	3	2.0588235294117645
rep0	NA	NegCtrlPLP	fov_2	14	19	0.00794995	3	1.3571428571428572
rep0	NA	NegCtrlPLP	fov_3	20	46	0.010589761	3	2.3
rep0	NA	NegCtrlPLP	fov_4	33	70	0.009842069	3	2.121212121212121
rep0	NA	NegCtrlPLP	fov_5	34	74	0.009498741	3	2.176470588235294
rep0	NA	NegCtrlPLP	fov_6	33	70	0.010231174249999999	3	2.121212121212121
rep0	NA	NegCtrlPLP	fov_7	39	79	0.01045243	3	2.0256410256410255
rep0	NA	NegCtrlPLP	fov_8	45	75	0.015381094	3	1.6666666666666667
rep1	NA	NegCtrlPLP	fov_0	99	280	0.0023498893500000003	3	2.8282828282828283
rep1	NA	NegCtrlPLP	fov_1	105	292	0.0021820401	3	2.780952380952381
rep1	NA	NegCtrlPLP	fov_2	28	33	0.0037689784	3	1.1785714285714286
rep1	NA	NegCtrlPLP	fov_3	99	262	0.002151522	3	2.6464646464646466
rep1	NA	NegCtrlPLP	fov_4	76	243	0.0022278172	3	3.1973684210526314
rep1	NA	NegCtrlPLP	fov_5	52	153	0.0024567025	3	2.9423076923076925
rep1	NA	NegCtrlPLP	fov_6	81	224	0.002151522	3	2.765432098765432
rep1	NA	NegCtrlPLP	fov_7	84	237	0.002044709	3	2.8214285714285716
rep1	NA	NegCtrlPLP	fov_8	96	310	0.0021133745	3	3.2291666666666665
rep1	NA	NegCtrlPLP	fov_9	99	345	0.002059968	3	3.484848484848485
rep2	NA	NegCtrlPLP	fov_0	87	354	0.0023498893500000003	3	4.068965517241379
rep2	NA	NegCtrlPLP	fov_1	118	396	0.002151522	3	3.3559322033898304
rep2	NA	NegCtrlPLP	fov_2	75	150	0.0029221027	3	2
rep2	NA	NegCtrlPLP	fov_3	102	377	0.0022583352	3	3.696078431372549
rep2	NA	NegCtrlPLP	fov_4	106	397	0.0023193713	3	3.7452830188679247
rep2	NA	NegCtrlPLP	fov_5	120	470	0.0024719615	3	3.9166666666666665
rep2	NA	NegCtrlPLP	fov_6	83	304	0.0023880369	3	3.6626506024096384
rep2	NA	NegCtrlPLP	fov_7	75	311	0.0022278172	3	4.1466666666666665
rep2	NA	NegCtrlPLP	fov_8	104	359	0.002166781	3	3.451923076923077
rep2	NA	NegCtrlPLP	fov_9	99	403	0.0022430762	3	4.070707070707071
