rep	segment	sample	fov	infected_cells	spots	median_intensity	mean_radius	spots_per_infected_cell	plp
rep0	NA	10PLP	fov_0	47	1539	0.091340505	3	32.744680851063826	10
rep0	NA	10PLP	fov_1	41	1978	0.106248573	3	48.24390243902439	10
rep0	NA	10PLP	fov_2	40	2336	0.143892575	3	58.4	10
rep0	NA	10PLP	fov_3	39	3160	0.033295184	3	81.02564102564102	10
rep0	NA	10PLP	fov_4	52	4521	0.017837796	3	86.9423076923077	10
rep0	NA	10PLP	fov_5	50	4932	0.03025864	3	98.64	10
rep0	NA	10PLP	fov_6	46	2462	0.029304951000000003	3	53.52173913043478	10
rep0	NA	10PLP	fov_7	46	3747	0.033005264	3	81.45652173913044	10
rep0	NA	10PLP	fov_8	42	3290	0.03358511	3	78.33333333333333	10
rep0	NA	1PLP	fov_0	33	772	0.026703289	3	23.393939393939394	1
rep0	NA	1PLP	fov_1	22	630	0.039276722	3	28.636363636363637	1
rep0	NA	1PLP	fov_2	29	916	0.046967268	3	31.586206896551722	1
rep0	NA	1PLP	fov_3	23	744	0.0320897225	3	32.34782608695652	1
rep0	NA	1PLP	fov_4	40	2052	0.0545128545	3	51.3	1
rep0	NA	1PLP	fov_5	42	1801	0.019882506	3	42.88095238095238	1
rep0	NA	1PLP	fov_6	49	3225	0.026901655	3	65.81632653061224	1
rep0	NA	1PLP	fov_7	44	1719	0.021942474	3	39.06818181818182	1
rep0	NA	1PLP	fov_8	43	1701	0.012054628	3	39.55813953488372	1
rep0	NA	2PLP	fov_0	31	1075	0.039353017	3	34.67741935483871	2
rep0	NA	2PLP	fov_1	42	1631	0.041886017	3	38.833333333333336	2
rep0	NA	2PLP	fov_2	36	1457	0.02465858	3	40.47222222222222	2
rep0	NA	2PLP	fov_3	31	2279	0.01560998	3	73.51612903225806	2
rep0	NA	2PLP	fov_4	31	2675	0.020401312	3	86.29032258064517	2
rep0	NA	2PLP	fov_5	35	2293	0.028183414	3	65.51428571428572	2
rep0	NA	2PLP	fov_6	38	1877	0.019073777	3	49.39473684210526	2
rep0	NA	2PLP	fov_7	41	2633	0.015228504	3	64.21951219512195	2
rep0	NA	2PLP	fov_8	38	2441	0.011841001	3	64.23684210526316	2
rep0	NA	3PLP	fov_0	36	1510	0.0138780805	3	41.94444444444444	3
rep0	NA	3PLP	fov_1	26	1063	0.022583352	3	40.88461538461539	3
rep0	NA	3PLP	fov_2	44	1925	0.047318228	3	43.75	3
rep0	NA	3PLP	fov_3	46	3264	0.022682536500000003	3	70.95652173913044	3
rep0	NA	3PLP	fov_4	48	1899	0.026794843	3	39.5625	3
rep0	NA	3PLP	fov_5	45	4489	0.022949569	3	99.75555555555556	3
rep0	NA	3PLP	fov_6	40	4085	0.02464332	3	102.125	3
rep0	NA	3PLP	fov_7	19	781	0.026276035	3	41.10526315789474	3
rep0	NA	3PLP	fov_8	46	4282	0.024940870499999997	3	93.08695652173913	3
rep0	NA	4PLP	fov_0	55	2275	0.14901961	3	41.36363636363637	4
rep0	NA	4PLP	fov_1	29	1616	0.15434500499999998	3	55.724137931034484	4
rep0	NA	4PLP	fov_2	25	855	0.15037766	3	34.2	4
rep0	NA	4PLP	fov_3	31	1854	0.016807813499999998	3	59.806451612903224	4
rep0	NA	4PLP	fov_4	44	3932	0.02667277	3	89.36363636363636	4
rep0	NA	4PLP	fov_5	41	2716	0.030876631	3	66.2439024390244	4
rep0	NA	4PLP	fov_6	42	3385	0.032486457	3	80.5952380952381	4
rep0	NA	4PLP	fov_7	50	3358	0.021271076	3	67.16	4
rep0	NA	4PLP	fov_8	31	2611	0.022568094	3	84.2258064516129	4
rep0	NA	6PLP	fov_0	28	1605	0.12733653	3	57.32142857142857	6
rep0	NA	6PLP	fov_1	31	1474	0.107057296	3	47.54838709677419	6
rep0	NA	6PLP	fov_2	40	2022	0.133211255	3	50.55	6
rep0	NA	6PLP	fov_3	45	3227	0.01731899	3	71.71111111111111	6
rep0	NA	6PLP	fov_4	45	3741	0.015518425	3	83.13333333333334	6
rep0	NA	6PLP	fov_5	41	3469	0.0171664	3	84.60975609756098	6
rep0	NA	6PLP	fov_6	50	4131	0.01263447	3	82.62	6
rep0	NA	6PLP	fov_7	33	2282	0.0155718315	3	69.15151515151516	6
rep0	NA	6PLP	fov_8	50	3805	0.03385977	3	76.1	6
rep0	NA	8PLP	fov_0	28	947	0.038803693	3	33.82142857142857	8
rep0	NA	8PLP	fov_1	28	1017	0.038437475	3	36.32142857142857	8
rep0	NA	8PLP	fov_2	32	2696	0.02323186	3	84.25	8
rep0	NA	8PLP	fov_3	43	2469	0.032837413	3	57.41860465116279	8
rep0	NA	8PLP	fov_4	33	2411	0.02917525	3	73.06060606060606	8
rep0	NA	8PLP	fov_5	40	5480	0.033752955	3	137	8
