rep	moi	hpi	fov	molecule	nucleus	spots	spots_per_infected_cell	mean_n
0	0.3 MOI	1	0	mRNA	cytoplasm	168	3.9069767441860463	6.928873837510921
0	0.3 MOI	1	0	mRNA	nucleus	95	2.2093023255813953	6.928873837510921
0	0.3 MOI	1	0	vRNA	cytoplasm	78	1.813953488372093	3.7420227030980975
0	0.3 MOI	1	0	vRNA	nucleus	54	1.255813953488372	3.7420227030980975
0	0.3 MOI	1	1	mRNA	cytoplasm	194	4.511627906976744	6.928873837510921
0	0.3 MOI	1	1	mRNA	nucleus	69	1.6046511627906976	6.928873837510921
0	0.3 MOI	1	1	vRNA	cytoplasm	68	1.5813953488372092	3.7420227030980975
0	0.3 MOI	1	1	vRNA	nucleus	36	0.8372093023255813	3.7420227030980975
0	0.3 MOI	1	2	mRNA	cytoplasm	189	4.0212765957446805	6.928873837510921
0	0.3 MOI	1	2	mRNA	nucleus	73	1.5531914893617023	6.928873837510921
0	0.3 MOI	1	2	vRNA	cytoplasm	67	1.425531914893617	3.7420227030980975
0	0.3 MOI	1	2	vRNA	nucleus	39	0.8297872340425532	3.7420227030980975
0	0.3 MOI	1	3	mRNA	cytoplasm	196	3.43859649122807	6.928873837510921
0	0.3 MOI	1	3	mRNA	nucleus	79	1.3859649122807016	6.928873837510921
0	0.3 MOI	1	3	vRNA	cytoplasm	57	1	3.7420227030980975
0	0.3 MOI	1	3	vRNA	nucleus	47	0.8245614035087718	3.7420227030980975
0	0.3 MOI	1	4	mRNA	cytoplasm	219	4.659574468085107	6.928873837510921
0	0.3 MOI	1	4	mRNA	nucleus	75	1.5957446808510638	6.928873837510921
0	0.3 MOI	1	4	vRNA	cytoplasm	96	2.0425531914893615	3.7420227030980975
0	0.3 MOI	1	4	vRNA	nucleus	59	1.2553191489361701	3.7420227030980975
0	0.3 MOI	1	5	mRNA	cytoplasm	230	4.6	6.928873837510921
0	0.3 MOI	1	5	mRNA	nucleus	100	2	6.928873837510921
0	0.3 MOI	1	5	vRNA	cytoplasm	85	1.7	3.7420227030980975
0	0.3 MOI	1	5	vRNA	nucleus	54	1.08	3.7420227030980975
0	0.3 MOI	1	6	mRNA	cytoplasm	207	3.5084745762711864	6.928873837510921
0	0.3 MOI	1	6	mRNA	nucleus	58	0.9830508474576272	6.928873837510921
0	0.3 MOI	1	6	vRNA	cytoplasm	61	1.0338983050847457	3.7420227030980975
0	0.3 MOI	1	6	vRNA	nucleus	42	0.711864406779661	3.7420227030980975
0	0.3 MOI	1	7	mRNA	cytoplasm	200	3.0303030303030303	6.928873837510921
0	0.3 MOI	1	7	mRNA	nucleus	75	1.1363636363636365	6.928873837510921
