rep	moi	hpi	fov	segment	molecule	ambiguous	infected_cells	rna_type	spots	median_intensity	mean_radius	spots_per_infected_cell	mean_n
0	0.3 MOI	1	0	PB2	mRNA	FALSE	43	mRNA	7	1.05957815e-5	5	0.16279069767441862	1.6197000950524145
0	0.3 MOI	1	0	PB2	vRNA	FALSE	43	vRNA	61	0	5	1.4186046511627908	1.5144935100297654
0	0.3 MOI	1	0	PB1	mRNA	FALSE	43	mRNA	12	0	5	0.27906976744186046	0.2601839736463064
0	0.3 MOI	1	0	PB1	vRNA	FALSE	43	vRNA	38	0	5	0.8837209302325582	0.4834438483262122
0	0.3 MOI	1	0	PA	mRNA	FALSE	43	mRNA	1	4.5815445e-4	5	0.023255813953488372	2.1413051589787666
0	0.3 MOI	1	0	PA	vRNA	FALSE	43	vRNA	4	4.648196e-5	5	0.09302325581395349	2.5752189405035186
0	0.3 MOI	1	0	HA	mRNA	FALSE	43	mRNA	1	0	5	0.023255813953488372	1.0073047896549772
0	0.3 MOI	1	0	HA	vRNA	FALSE	43	vRNA	10	0	5	0.23255813953488372	1.49301080012043
0	0.3 MOI	1	0	NP	mRNA	FALSE	43	mRNA	36	0.0418610365	5	0.8372093023255814	1.6182997359252076
0	0.3 MOI	1	0	NP	vRNA	FALSE	43	vRNA	9	0	5	0.20930232558139536	0.2480705221703016
0	0.3 MOI	1	0	NA	mRNA	FALSE	43	mRNA	45	0.045129452	5	1.0465116279069768	0.37266770813932065
0	0.3 MOI	1	0	NA	vRNA	FALSE	43	vRNA	3	0	5	0.06976744186046512	0.15927495871249586
0	0.3 MOI	1	0	M	mRNA	FALSE	43	mRNA	4	0.046864729	5	0.09302325581395349	2.980726603485601
0	0.3 MOI	1	0	M	vRNA	FALSE	43	vRNA	3	0	5	0.06976744186046512	0.6507468107321579
0	0.3 MOI	1	0	NS	mRNA	FALSE	43	mRNA	157	0.0457974	5	3.6511627906976742	4.361678171466886
0	0.3 MOI	1	0	NS	vRNA	FALSE	43	vRNA	4	0	5	0.09302325581395349	0.4351972795623483
0	0.3 MOI	1	1	PB2	mRNA	FALSE	43	mRNA	14	4.0895048e-5	5	0.32558139534883723	1.6197000950524145
0	0.3 MOI	1	1	PB2	vRNA	FALSE	43	vRNA	47	0	5	1.0930232558139534	1.5144935100297654
0	0.3 MOI	1	1	PB1	mRNA	FALSE	43	mRNA	18	3.98560625e-5	5	0.4186046511627907	0.2601839736463064
0	0.3 MOI	1	1	PB1	vRNA	FALSE	43	vRNA	15	0	5	0.3488372093023256	0.4834438483262122
0	0.3 MOI	1	1	PA	mRNA	FALSE	43	mRNA	3	0	5	0.06976744186046512	2.1413051589787666
0	0.3 MOI	1	1	PA	vRNA	FALSE	43	vRNA	2	2.63819965e-4	5	0.046511627906976744	2.5752189405035186
0	0.3 MOI	1	1	HA	mRNA	FALSE	43	mRNA	7	7.657636e-7	5	0.16279069767441862	1.0073047896549772
0	0.3 MOI	1	1	HA	vRNA	FALSE	43	vRNA	17	1.1338988e-6	5	0.3953488372093023	1.49301080012043
0	0.3 MOI	1	1	NP	mRNA	FALSE	43	mRNA	30	0.029985643	5	0.6976744186046512	1.6182997359252076
