moi	hpi	segments	Cells
0.3 MOI	0	1	321
0.3 MOI	0	2	179
0.3 MOI	0	3	41
0.3 MOI	0	4	7
0.3 MOI	1	1	245
0.3 MOI	1	2	328
0.3 MOI	1	3	345
0.3 MOI	1	4	380
0.3 MOI	1	5	306
0.3 MOI	1	6	185
0.3 MOI	1	7	49
0.3 MOI	1	8	7
0.3 MOI	2	1	210
0.3 MOI	2	2	174
0.3 MOI	2	3	189
0.3 MOI	2	4	258
0.3 MOI	2	5	319
0.3 MOI	2	6	354
0.3 MOI	2	7	218
0.3 MOI	2	8	55
0.3 MOI	3	1	139
0.3 MOI	3	2	163
0.3 MOI	3	3	214
0.3 MOI	3	4	308
0.3 MOI	3	5	261
0.3 MOI	3	6	194
0.3 MOI	3	7	88
0.3 MOI	3	8	21
0.3 MOI	4	1	210
0.3 MOI	4	2	306
0.3 MOI	4	3	328
0.3 MOI	4	4	310
0.3 MOI	4	5	243
0.3 MOI	4	6	115
0.3 MOI	4	7	57
0.3 MOI	4	8	9
0.3 MOI	5	1	127
0.3 MOI	5	2	184
0.3 MOI	5	3	218
0.3 MOI	5	4	267
0.3 MOI	5	5	293
0.3 MOI	5	6	232
0.3 MOI	5	7	155
0.3 MOI	5	8	43
0.3 MOI	6	1	203
0.3 MOI	6	2	310
0.3 MOI	6	3	328
0.3 MOI	6	4	305
0.3 MOI	6	5	235
0.3 MOI	6	6	151
0.3 MOI	6	7	55
0.3 MOI	6	8	22
0.3 MOI	7	1	175
0.3 MOI	7	2	263
0.3 MOI	7	3	308
0.3 MOI	7	4	308
0.3 MOI	7	5	273
0.3 MOI	7	6	187
0.3 MOI	7	7	126
0.3 MOI	7	8	96
0.3 MOI	8	1	154
0.3 MOI	8	2	209
0.3 MOI	8	3	263
0.3 MOI	8	4	265
0.3 MOI	8	5	240
0.3 MOI	8	6	173
0.3 MOI	8	7	136
0.3 MOI	8	8	164
1 MOI	0	1	454
1 MOI	0	2	371
1 MOI	0	3	219
1 MOI	0	4	102
1 MOI	0	5	38
1 MOI	0	6	7
1 MOI	1	1	298
1 MOI	1	2	238
1 MOI	1	3	313
1 MOI	1	4	311
1 MOI	1	5	310
1 MOI	1	6	200
1 MOI	1	7	107
1 MOI	1	8	20
1 MOI	2	1	157
1 MOI	2	2	199
1 MOI	2	3	209
1 MOI	2	4	297
1 MOI	2	5	393
1 MOI	2	6	422
1 MOI	2	7	234
1 MOI	2	8	81
1 MOI	3	1	171
1 MOI	3	2	167
1 MOI	3	3	200
1 MOI	3	4	187
1 MOI	3	5	274
1 MOI	3	6	293
1 MOI	3	7	170
1 MOI	3	8	50
1 MOI	4	1	195
1 MOI	4	2	198
1 MOI	4	3	151
1 MOI	4	4	217
1 MOI	4	5	291
1 MOI	4	6	308
1 MOI	4	7	249
1 MOI	4	8	98
1 MOI	5	1	175
1 MOI	5	2	184
1 MOI	5	3	245
1 MOI	5	4	287
1 MOI	5	5	333
1 MOI	5	6	346
1 MOI	5	7	203
1 MOI	5	8	99
1 MOI	6	1	250
1 MOI	6	2	292
1 MOI	6	3	280
1 MOI	6	4	291
1 MOI	6	5	233
1 MOI	6	6	167
1 MOI	6	7	125
1 MOI	6	8	125
1 MOI	7	1	239
1 MOI	7	2	295
1 MOI	7	3	290
1 MOI	7	4	315
1 MOI	7	5	214
1 MOI	7	6	197
1 MOI	7	7	234
1 MOI	7	8	217
1 MOI	8	1	202
1 MOI	8	2	194
1 MOI	8	3	205
1 MOI	8	4	208
1 MOI	8	5	245
1 MOI	8	6	245
1 MOI	8	7	235
1 MOI	8	8	282
