moi	hpi	segments	Cells
0.3 MOI	0	1	238
0.3 MOI	0	2	211
0.3 MOI	0	3	110
0.3 MOI	0	4	17
0.3 MOI	0	5	3
0.3 MOI	0	6	1
0.3 MOI	1	1	162
0.3 MOI	1	2	204
0.3 MOI	1	3	209
0.3 MOI	1	4	260
0.3 MOI	1	5	371
0.3 MOI	1	6	451
0.3 MOI	1	7	226
0.3 MOI	1	8	35
0.3 MOI	2	1	162
0.3 MOI	2	2	155
0.3 MOI	2	3	144
0.3 MOI	2	4	176
0.3 MOI	2	5	336
0.3 MOI	2	6	517
0.3 MOI	2	7	279
0.3 MOI	2	8	75
0.3 MOI	3	1	47
0.3 MOI	3	2	60
0.3 MOI	3	3	101
0.3 MOI	3	4	118
0.3 MOI	3	5	251
0.3 MOI	3	6	400
0.3 MOI	3	7	336
0.3 MOI	3	8	112
0.3 MOI	4	1	63
0.3 MOI	4	2	97
0.3 MOI	4	3	134
0.3 MOI	4	4	164
0.3 MOI	4	5	252
0.3 MOI	4	6	351
0.3 MOI	4	7	362
0.3 MOI	4	8	209
0.3 MOI	5	1	65
0.3 MOI	5	2	87
0.3 MOI	5	3	115
0.3 MOI	5	4	160
0.3 MOI	5	5	262
0.3 MOI	5	6	288
0.3 MOI	5	7	344
0.3 MOI	5	8	226
0.3 MOI	6	1	73
0.3 MOI	6	2	149
0.3 MOI	6	3	221
0.3 MOI	6	4	246
0.3 MOI	6	5	295
0.3 MOI	6	6	300
0.3 MOI	6	7	237
0.3 MOI	6	8	166
0.3 MOI	7	1	99
0.3 MOI	7	2	160
0.3 MOI	7	3	233
0.3 MOI	7	4	248
0.3 MOI	7	5	236
0.3 MOI	7	6	243
0.3 MOI	7	7	262
0.3 MOI	7	8	298
0.3 MOI	8	1	84
0.3 MOI	8	2	132
0.3 MOI	8	3	177
0.3 MOI	8	4	213
0.3 MOI	8	5	206
0.3 MOI	8	6	253
0.3 MOI	8	7	223
0.3 MOI	8	8	348
1 MOI	0	1	354
1 MOI	0	2	337
1 MOI	0	3	267
1 MOI	0	4	190
1 MOI	0	5	100
1 MOI	0	6	41
1 MOI	0	7	10
1 MOI	1	1	132
1 MOI	1	2	214
1 MOI	1	3	213
1 MOI	1	4	209
1 MOI	1	5	308
1 MOI	1	6	423
1 MOI	1	7	293
1 MOI	1	8	143
1 MOI	2	1	43
1 MOI	2	2	79
1 MOI	2	3	129
1 MOI	2	4	180
1 MOI	2	5	296
1 MOI	2	6	507
1 MOI	2	7	549
1 MOI	2	8	240
1 MOI	3	1	37
1 MOI	3	2	54
1 MOI	3	3	95
1 MOI	3	4	120
1 MOI	3	5	171
1 MOI	3	6	245
1 MOI	3	7	412
1 MOI	3	8	429
1 MOI	4	1	35
1 MOI	4	2	74
1 MOI	4	3	135
1 MOI	4	4	164
1 MOI	4	5	218
1 MOI	4	6	287
1 MOI	4	7	378
1 MOI	4	8	527
1 MOI	5	1	67
1 MOI	5	2	150
1 MOI	5	3	220
1 MOI	5	4	236
1 MOI	5	5	251
1 MOI	5	6	270
1 MOI	5	7	296
1 MOI	5	8	438
1 MOI	6	1	107
1 MOI	6	2	145
1 MOI	6	3	207
1 MOI	6	4	202
1 MOI	6	5	222
1 MOI	6	6	213
1 MOI	6	7	266
1 MOI	6	8	474
1 MOI	7	1	114
1 MOI	7	2	198
1 MOI	7	3	267
1 MOI	7	4	270
1 MOI	7	5	212
1 MOI	7	6	248
1 MOI	7	7	280
1 MOI	7	8	476
1 MOI	8	1	83
1 MOI	8	2	110
1 MOI	8	3	152
1 MOI	8	4	160
1 MOI	8	5	218
1 MOI	8	6	269
1 MOI	8	7	381
1 MOI	8	8	542
