rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell	sample_type	plp
rep1	HA	10PLP	fov_0	72	3021	0.002166781	3	41.958333333333336	positive	10
rep1	HA	10PLP	fov_1	102	2741	0.0021972992	3	26.872549019607842	positive	10
rep1	HA	10PLP	fov_2	79	1943	0.002761883	3	24.59493670886076	positive	10
rep1	HA	10PLP	fov_3	68	1986	0.0023956664	3	29.205882352941178	positive	10
rep1	HA	10PLP	fov_5	97	3244	0.0024872206	3	33.44329896907217	positive	10
rep1	HA	10PLP	fov_7	107	3822	0.0023422598500000003	3	35.7196261682243	positive	10
rep1	HA	10PLP	fov_8	103	3320	0.0025329976	3	32.23300970873787	positive	10
rep1	HA	10PLP	fov_9	108	3439	0.0022735943	3	31.84259259259259	positive	10
rep1	HA	1PLP	fov_0	124	3732	0.0032654307	3	30.096774193548388	positive	1
rep1	HA	1PLP	fov_1	121	3153	0.003494316	3	26.05785123966942	positive	1
rep1	HA	1PLP	fov_2	121	4271	0.0037537194	3	35.29752066115702	positive	1
rep1	HA	1PLP	fov_3	70	2755	0.004135195	3	39.357142857142854	positive	1
rep1	HA	1PLP	fov_4	115	5328	0.0039063096	3	46.3304347826087	positive	1
rep1	HA	1PLP	fov_5	144	5477	0.0043640803	3	38.03472222222222	positive	1
rep1	HA	1PLP	fov_6	150	5508	0.004013123	3	36.72	positive	1
rep1	HA	1PLP	fov_7	86	2575	0.0033722438	3	29.941860465116278	positive	1
rep1	HA	1PLP	fov_8	84	2340	0.003418021	3	27.857142857142858	positive	1
rep1	HA	1PLP	fov_9	91	2019	0.003418021	3	22.186813186813186	positive	1
rep1	HA	2PLP	fov_0	130	5171	0.0039063096	3	39.776923076923076	positive	2
rep1	HA	2PLP	fov_1	142	4635	0.0030518044	3	32.640845070422536	positive	2
rep1	HA	2PLP	fov_2	103	2846	0.0021744105500000003	3	27.631067961165048	positive	2
rep1	HA	2PLP	fov_3	90	2781	0.002792401	3	30.9	positive	2
rep1	HA	2PLP	fov_4	81	2112	0.003448539	3	26.074074074074073	positive	2
rep1	HA	2PLP	fov_5	40	1417	0.0030518044	3	35.425	positive	2
rep1	HA	2PLP	fov_6	56	1598	0.0029297322	3	28.535714285714285	positive	2
rep1	HA	2PLP	fov_7	123	4039	0.0024109255	3	32.83739837398374	positive	2
rep1	HA	2PLP	fov_8	116	4404	0.0031433585	3	37.96551724137931	positive	2
rep1	HA	2PLP	fov_9	143	5434	0.004135195	3	38	positive	2
rep1	HA	3PLP	fov_0	92	3050	0.002090486	3	33.15217391304348	positive	3
rep1	HA	3PLP	fov_1	85	2579	0.0019989319	3	30.341176470588234	positive	3
rep1	HA	3PLP	fov_2	99	2537	0.0022125582	3	25.626262626262626	positive	3
rep1	HA	3PLP	fov_3	129	4479	0.0024719615	3	34.72093023255814	positive	3
rep1	HA	3PLP	fov_4	104	3142	0.0024872206	3	30.21153846153846	positive	3
rep1	HA	3PLP	fov_5	85	2331	0.0026550698	3	27.423529411764704	positive	3
rep1	HA	3PLP	fov_6	71	1625	0.0022125582	3	22.887323943661972	positive	3
rep1	HA	3PLP	fov_7	88	2523	0.0021820401	3	28.670454545454547	positive	3
rep1	HA	3PLP	fov_8	70	3149	0.0019531548	3	44.98571428571429	positive	3
rep1	HA	3PLP	fov_9	77	2922	0.0025024796	3	37.94805194805195	positive	3
rep1	HA	4PLP	fov_0	91	2312	0.0025177386	3	25.406593406593405	positive	4
rep1	HA	4PLP	fov_1	50	1178	0.0030670634	3	23.56	positive	4
rep1	HA	4PLP	fov_2	57	2475	0.0033264668	3	43.421052631578945	positive	4
rep1	HA	4PLP	fov_3	59	2467	0.004287785	3	41.813559322033896	positive	4
rep1	HA	4PLP	fov_4	97	5060	0.004119936	3	52.16494845360825	positive	4
rep1	HA	4PLP	fov_5	107	3634	0.0045471885	3	33.96261682242991	positive	4
rep1	HA	4PLP	fov_6	126	3873	0.0037689784	3	30.738095238095237	positive	4
