rep	segment	sample	fov	n_cells	spots	median_intensity	mean_radius	spots_per_cell
rep0	HA	NegCtrlPLP	fov_0	3	3	0.011154345	3	1
rep0	HA	NegCtrlPLP	fov_1	15	20	0.0052033265	3	1.3333333333333333
rep0	HA	NegCtrlPLP	fov_2	4	5	0.011444267	3	1.25
rep0	HA	NegCtrlPLP	fov_3	9	11	0.0072327764	3	1.2222222222222223
rep0	HA	NegCtrlPLP	fov_4	9	10	0.00390630965	3	1.1111111111111112
rep0	HA	NegCtrlPLP	fov_5	8	9	0.0064698253	3	1.125
rep0	HA	NegCtrlPLP	fov_6	17	21	0.0045014117	3	1.2352941176470589
rep0	HA	NegCtrlPLP	fov_7	18	21	0.006958114	3	1.1666666666666667
rep0	HA	NegCtrlPLP	fov_8	22	25	0.0083314255	3	1.1363636363636365
rep1	HA	NegCtrlPLP	fov_0	11	11	9.155413e-4	3	1
rep1	HA	NegCtrlPLP	fov_1	7	10	0.001747158	3	1.4285714285714286
rep1	HA	NegCtrlPLP	fov_2	24	47	7.01915e-4	3	1.9583333333333333
rep1	HA	NegCtrlPLP	fov_3	14	17	9.765774e-4	3	1.2142857142857142
rep1	HA	NegCtrlPLP	fov_4	4	4	0.00143434805	3	1
rep1	HA	NegCtrlPLP	fov_5	13	14	9.613184e-4	3	1.0769230769230769
rep1	HA	NegCtrlPLP	fov_6	18	27	7.476921e-4	3	1.5
rep1	HA	NegCtrlPLP	fov_7	15	18	9.00282285e-4	3	1.2
rep1	HA	NegCtrlPLP	fov_8	14	15	9.765774e-4	3	1.0714285714285714
rep1	HA	NegCtrlPLP	fov_9	11	11	0.0011749447	3	1
rep2	HA	NegCtrlPLP	fov_0	10	10	9.76577385e-4	3	1
rep2	HA	NegCtrlPLP	fov_1	27	33	8.239872e-4	3	1.2222222222222223
rep2	HA	NegCtrlPLP	fov_2	26	34	7.553216e-4	3	1.3076923076923077
rep2	HA	NegCtrlPLP	fov_3	14	17	0.0010833906	3	1.2142857142857142
rep2	HA	NegCtrlPLP	fov_4	10	13	0.0013122759	3	1.3
rep2	HA	NegCtrlPLP	fov_5	14	17	7.01915e-4	3	1.2142857142857142
rep2	HA	NegCtrlPLP	fov_6	10	11	0.0011444266	3	1.1
rep2	HA	NegCtrlPLP	fov_7	22	30	7.3243305e-4	3	1.3636363636363635
rep2	HA	NegCtrlPLP	fov_8	15	17	8.8502327e-4	3	1.1333333333333333
rep2	HA	NegCtrlPLP	fov_9	13	17	0.0011596857	3	1.3076923076923077
rep3	HA	NegCtrlPLP	fov_0	1	1	0.00701915	3	1
rep3	HA	NegCtrlPLP	fov_1	1	1	0.007049668	3	1
rep3	HA	NegCtrlPLP	fov_2	1	1	0.0072480356	3	1
rep3	HA	NegCtrlPLP	fov_3	1	1	0.006881819	3	1
rep3	HA	NegCtrlPLP	fov_4	1	1	0.0070038913	3	1
rep3	HA	NegCtrlPLP	fov_5	1	1	0.00701915	3	1
rep3	HA	NegCtrlPLP	fov_6	1	1	0.0070649274	3	1
rep3	HA	NegCtrlPLP	fov_7	2	2	0.00422674905	3	1
rep3	HA	NegCtrlPLP	fov_8	3	3	0.0018463416	3	1
rep3	HA	NegCtrlPLP	fov_9	3	3	0.0016937514	3	1
rep4	HA	NegCtrlPLP	fov_0	1	2	0.004081788350000001	3	2
rep4	HA	NegCtrlPLP	fov_1	2	2	0.00437933935	3	1
rep4	HA	NegCtrlPLP	fov_2	1	1	0.03010605	5	1
rep4	HA	NegCtrlPLP	fov_3	1	1	0.02618448	5	1
rep4	HA	NegCtrlPLP	fov_4	1	1	0.00701915	3	1
rep4	HA	NegCtrlPLP	fov_5	2	2	0.0045777066	3	1
rep4	HA	NegCtrlPLP	fov_6	1	1	0.006820783	3	1
rep4	HA	NegCtrlPLP	fov_7	1	1	0.0069123367	3	1
rep4	HA	NegCtrlPLP	fov_8	2	2	0.00406652935	3	1
rep4	HA	NegCtrlPLP	fov_9	1	1	0.03509575	5	1
