rep	segment	sample	fov	infected_cells	spots	median_intensity	mean_radius	spots_per_infected_cell	plp
rep0	HA	10PLP	fov_0	19	885	0.027237354	3	46.578947368421055	10
rep0	HA	10PLP	fov_1	58	3562	0.0161364155	3	61.41379310344828	10
rep0	HA	10PLP	fov_2	38	1612	0.019127184499999998	3	42.421052631578945	10
rep0	HA	10PLP	fov_3	46	5005	0.012726024	3	108.80434782608695	10
rep0	HA	10PLP	fov_4	48	4121	0.017074846	3	85.85416666666667	10
rep0	HA	10PLP	fov_5	41	8013	0.025925077	3	195.4390243902439	10
rep0	HA	10PLP	fov_6	41	4475	0.020080872	3	109.14634146341463	10
rep0	HA	10PLP	fov_8	52	3512	0.027412832499999998	3	67.53846153846153	10
rep0	HA	1PLP	fov_0	36	926	0.020065613	3	25.72222222222222	1
rep0	HA	1PLP	fov_1	29	776	0.00504310675	3	26.75862068965517	1
rep0	HA	1PLP	fov_2	28	743	0.0077973604	3	26.535714285714285	1
rep0	HA	1PLP	fov_3	36	1923	0.01760891	3	53.416666666666664	1
rep0	HA	1PLP	fov_4	29	1123	0.007843137	3	38.724137931034484	1
rep0	HA	1PLP	fov_5	36	1241	0.007080186	3	34.47222222222222	1
rep0	HA	1PLP	fov_6	24	841	0.011917296	3	35.041666666666664	1
rep0	HA	1PLP	fov_7	16	546	0.01168078125	3	34.125	1
rep0	HA	1PLP	fov_8	39	1566	0.011886778	3	40.15384615384615	1
rep0	HA	2PLP	fov_0	42	1923	0.01887541	3	45.785714285714285	2
rep0	HA	2PLP	fov_1	37	1677	0.011520562	3	45.32432432432432	2
rep0	HA	2PLP	fov_2	28	1278	0.0140459295	3	45.642857142857146	2
rep0	HA	2PLP	fov_3	33	1578	0.0106279085	3	47.81818181818182	2
rep0	HA	2PLP	fov_4	26	683	0.014007783	3	26.26923076923077	2
rep0	HA	2PLP	fov_5	22	1523	0.013046464	3	69.22727272727273	2
rep0	HA	2PLP	fov_6	42	2410	0.018028535	3	57.38095238095238	2
