total	type	round	fraction	fov
2019	correct	1	0.9247152055473007	0
2019	additional	1	0.07528479445269935	0
2019	missing	1	0	0
2019	additionalAndMissing	1	0	0
2019	correct	2	0.912332838038633	0
2019	additional	2	0.0871718672610203	0
2019	missing	2	0	0
2019	additionalAndMissing	2	4.952947003467063e-4	0
2019	correct	3	0.9068845963348192	0
2019	additional	3	0.09212481426448738	0
2019	missing	3	0	0
2019	additionalAndMissing	3	9.905894006934125e-4	0
2019	correct	4	0.9049034175334324	0
2019	additional	4	0.0941059930658742	0
2019	missing	4	0	0
2019	additionalAndMissing	4	9.905894006934125e-4	0
2019	correct	5	0.8855869242199108	0
2019	additional	5	0.11342248637939574	0
2019	missing	5	0	0
2019	additionalAndMissing	5	9.905894006934125e-4	0
2019	correct	6	0.866765725606736	0
2019	additional	6	0.13125309559187717	0
2019	missing	6	9.905894006934125e-4	0
2019	additionalAndMissing	6	9.905894006934125e-4	0
2845	correct	1	0.9152899824253076	1
2845	additional	1	0.08471001757469244	1
2845	missing	1	0	1
2845	additionalAndMissing	1	0	1
2845	correct	2	0.9065026362038664	1
2845	additional	2	0.09349736379613356	1
2845	missing	2	0	1
2845	additionalAndMissing	2	0	1
2845	correct	3	0.9015817223198594	1
2845	additional	3	0.0984182776801406	1
2845	missing	3	0	1
2845	additionalAndMissing	3	0	1
2845	correct	4	0.8885764499121266	1
2845	additional	4	0.11142355008787347	1
2845	missing	4	0	1
2845	additionalAndMissing	4	0	1
2845	correct	5	0.875219683655536	1
2845	additional	5	0.12478031634446397	1
2845	missing	5	0	1
2845	additionalAndMissing	5	0	1
2845	correct	6	0.8615114235500879	1
2845	additional	6	0.1360281195079086	1
2845	missing	6	0.00140597539543058	1
2845	additionalAndMissing	6	0.001054481546572935	1
1388	correct	1	0.8587896253602305	2
1388	additional	1	0.14048991354466858	2
1388	missing	1	7.204610951008645e-4	2
1388	additionalAndMissing	1	0	2
1388	correct	2	0.8537463976945245	2
1388	additional	2	0.14553314121037464	2
1388	missing	2	7.204610951008645e-4	2
1388	additionalAndMissing	2	0	2
1388	correct	3	0.8278097982708934	2
1388	additional	3	0.17146974063400577	2
1388	missing	3	7.204610951008645e-4	2
1388	additionalAndMissing	3	0	2
1388	correct	4	0.8256484149855908	2
1388	additional	4	0.17363112391930835	2
1388	missing	4	7.204610951008645e-4	2
1388	additionalAndMissing	4	0	2
1388	correct	5	0.8105187319884726	2
1388	additional	5	0.18876080691642652	2
1388	missing	5	7.204610951008645e-4	2
1388	additionalAndMissing	5	0	2
1388	correct	6	0.781700288184438	2
1388	additional	6	0.2154178674351585	2
1388	missing	6	7.204610951008645e-4	2
1388	additionalAndMissing	6	0.002161383285302594	2
1353	correct	1	0.925351071692535	3
1353	additional	1	0.07464892830746489	3
1353	missing	1	0	3
1353	additionalAndMissing	1	0	3
1353	correct	2	0.9194382852919438	3
1353	additional	2	0.08056171470805618	3
1353	missing	2	0	3
1353	additionalAndMissing	2	0	3
1353	correct	3	0.9105691056910569	3
1353	additional	3	0.08943089430894309	3
1353	missing	3	0	3
1353	additionalAndMissing	3	0	3
1353	correct	4	0.9031781226903178	3
1353	additional	4	0.09682187730968218	3
1353	missing	4	0	3
1353	additionalAndMissing	4	0	3
1353	correct	5	0.8943089430894309	3
1353	additional	5	0.10569105691056911	3
1353	missing	5	0	3
1353	additionalAndMissing	5	0	3
1353	correct	6	0.8876570583887657	3
1353	additional	6	0.11160384331116038	3
1353	missing	6	7.390983000739098e-4	3
1353	additionalAndMissing	6	0	3
2003	correct	1	0.9345981028457314	4
2003	additional	1	0.06490264603095357	4
2003	missing	1	4.992511233150275e-4	4
2003	additionalAndMissing	1	0	4
2003	correct	2	0.9246130803794309	4
2003	additional	2	0.07438841737393909	4
2003	missing	2	9.98502246630055e-4	4
2003	additionalAndMissing	2	0	4
2003	correct	3	0.9146280579131303	4
2003	additional	3	0.08437343984023964	4
2003	missing	3	9.98502246630055e-4	4
2003	additionalAndMissing	3	0	4
2003	correct	4	0.8746879680479281	4
2003	additional	4	0.12431352970544184	4
2003	missing	4	4.992511233150275e-4	4
2003	additionalAndMissing	4	4.992511233150275e-4	4
2003	correct	5	0.8257613579630554	4
2003	additional	5	0.16674987518721918	4
2003	missing	5	0.0054917623564653024	4
2003	additionalAndMissing	5	0.00199700449326011	4
2003	correct	6	0.8082875686470294	4
2003	additional	6	0.17024463305042437	4
2003	missing	6	0.016974538192710935	4
2003	additionalAndMissing	6	0.0044932601098352475	4
1968	correct	1	0.9303861788617886	5
1968	additional	1	0.06808943089430894	5
1968	missing	1	0.0010162601626016261	5
1968	additionalAndMissing	1	5.081300813008131e-4	5
1968	correct	2	0.9227642276422764	5
1968	additional	2	0.07571138211382114	5
1968	missing	2	0.0010162601626016261	5
1968	additionalAndMissing	2	5.081300813008131e-4	5
1968	correct	3	0.9192073170731707	5
1968	additional	3	0.07926829268292683	5
1968	missing	3	5.081300813008131e-4	5
1968	additionalAndMissing	3	0.0010162601626016261	5
1968	correct	4	0.8714430894308943	5
1968	additional	4	0.12703252032520326	5
1968	missing	4	5.081300813008131e-4	5
1968	additionalAndMissing	4	0.0010162601626016261	5
1968	correct	5	0.8313008130081301	5
1968	additional	5	0.15142276422764228	5
1968	missing	5	0.013719512195121951	5
1968	additionalAndMissing	5	0.003556910569105691	5
1968	correct	6	0.75	5
1968	additional	6	0.22815040650406504	5
1968	missing	6	0.012703252032520325	5
1968	additionalAndMissing	6	0.009146341463414634	5
1417	correct	1	0.9795342272406493	6
1417	additional	1	0.019054340155257588	6
1417	missing	1	0.0014114326040931546	6
1417	additionalAndMissing	1	0	6
1417	correct	2	0.9731827805222301	6
1417	additional	2	0.025405786873676783	6
1417	missing	2	0.0014114326040931546	6
