rep	moi	hpi	fov	barcode	nucleus	spots	spots_per_infected_cell	mean_n
0	0.3 MOI	1	0	Ambiguous	Cytoplasm	13	0.3023255813953488	0.42173053144573436
0	0.3 MOI	1	0	Ambiguous	Nucleus	4	0.09302325581395349	1.1738546660487217
0	0.3 MOI	1	0	Unique	Cytoplasm	246	5.720930232558139	10.669984760321674
0	0.3 MOI	1	0	Unique	Nucleus	149	3.4651162790697674	10.671808320896362
0	0.3 MOI	1	1	Ambiguous	Cytoplasm	9	0.20930232558139533	0.42173053144573436
0	0.3 MOI	1	1	Ambiguous	Nucleus	1	0.023255813953488372	1.1738546660487217
0	0.3 MOI	1	1	Unique	Cytoplasm	262	6.093023255813954	10.669984760321674
0	0.3 MOI	1	1	Unique	Nucleus	105	2.441860465116279	10.671808320896362
0	0.3 MOI	1	2	Ambiguous	Cytoplasm	1	0.02127659574468085	0.06474303140059373
0	0.3 MOI	1	2	Ambiguous	Cytoplasm	9	0.19148936170212766	0.42173053144573436
0	0.3 MOI	1	2	Unique	Cytoplasm	256	5.446808510638298	10.669984760321674
0	0.3 MOI	1	2	Unique	Nucleus	112	2.382978723404255	10.671808320896362
0	0.3 MOI	1	3	Ambiguous	Cytoplasm	6	0.10526315789473684	0.42173053144573436
0	0.3 MOI	1	3	Unique	Cytoplasm	253	4.43859649122807	10.669984760321674
0	0.3 MOI	1	3	Unique	Nucleus	126	2.2105263157894735	10.671808320896362
0	0.3 MOI	1	4	Ambiguous	Cytoplasm	4	0.0851063829787234	0.42173053144573436
0	0.3 MOI	1	4	Ambiguous	Nucleus	3	0.06382978723404255	1.1738546660487217
0	0.3 MOI	1	4	Unique	Cytoplasm	315	6.702127659574468	10.669984760321674
0	0.3 MOI	1	4	Unique	Nucleus	134	2.851063829787234	10.671808320896362
0	0.3 MOI	1	5	Ambiguous	Cytoplasm	1	0.02	0.06474303140059373
0	0.3 MOI	1	5	Ambiguous	Cytoplasm	6	0.12	0.42173053144573436
0	0.3 MOI	1	5	Ambiguous	Nucleus	5	0.1	1.1738546660487217
0	0.3 MOI	1	5	Unique	Cytoplasm	315	6.3	10.669984760321674
0	0.3 MOI	1	5	Unique	Nucleus	154	3.08	10.671808320896362
0	0.3 MOI	1	6	Ambiguous	Cytoplasm	7	0.11864406779661017	0.42173053144573436
0	0.3 MOI	1	6	Ambiguous	Nucleus	1	0.01694915254237288	1.1738546660487217
0	0.3 MOI	1	6	Unique	Cytoplasm	268	4.5423728813559325	10.669984760321674
0	0.3 MOI	1	6	Unique	Nucleus	100	1.694915254237288	10.671808320896362
0	0.3 MOI	1	7	Ambiguous	Cytoplasm	8	0.12121212121212122	0.42173053144573436
0	0.3 MOI	1	7	Ambiguous	Nucleus	4	0.06060606060606061	1.1738546660487217
0	0.3 MOI	1	7	Unique	Cytoplasm	285	4.318181818181818	10.669984760321674
0	0.3 MOI	1	7	Unique	Nucleus	125	1.893939393939394	10.671808320896362
0	0.3 MOI	2	0	Ambiguous	Cytoplasm	2	0.03773584905660377	0.42979525686013703
0	0.3 MOI	2	0	Unique	Cytoplasm	125	2.358490566037736	11.360517885358487
0	0.3 MOI	2	0	Unique	Nucleus	61	1.150943396226415	14.0594270161564
0	0.3 MOI	2	1	Ambiguous	Cytoplasm	7	0.21875	0.42979525686013703
0	0.3 MOI	2	1	Unique	Cytoplasm	227	7.09375	11.360517885358487
0	0.3 MOI	2	1	Unique	Nucleus	130	4.0625	14.0594270161564
0	0.3 MOI	2	2	Ambiguous	Cytoplasm	1	0.023809523809523808	0.0703706749043622
